"","Interest.Group","Year","Total_Contributions","Party.Committee","Party_Committee_Contribution","Total_Party_Committee_Contribution_by_Year","Percent_Donated_to_Party_Committees"
"1135","STONEWALL DEMOCRATS OF SOUTHWEST FLORIDA",2012,200,"0",0,0,0
"1136","STONEWALL DEMOCRATS OF SOUTHWEST FLORIDA",2010,350,"0",0,0,0
"1137","STONEWALL DEMOCRATS OF SOUTHWEST FLORIDA",2006,400,"0",0,0,0
"1138","STONEWALL DEMOCRATS OF TARRANT COUNTY",2010,12500,"0",0,0,0
"1139","STONEWALL DEMOCRATS OF TARRANT COUNTY",2008,4250,"0",0,0,0
"1140","STONEWALL DEMOCRATS OF TARRANT COUNTY",2006,370,"0",0,0,0
"1141","STONEWALL DEMOCRATS OF THE RIO GRANDE VALLEY",2015,50.4,"TEXAS DEMOCRATIC PARTY",50.4,50.4,1
"1142","STONEWALL DEMOCRATS OF THE RIO GRANDE VALLEY",2014,6000,"0",0,0,0
"1143","STONEWALL DEMOCRATS OF THE RIO GRANDE VALLEY",2013,200,"0",0,0,0
"1144","STONEWALL DEMOCRATS OF THE RIO GRANDE VALLEY",2012,2750,"0",0,0,0
"1145","STONEWALL DEMOCRATS OF THE RIO GRANDE VALLEY",2010,550,"0",0,0,0
"1146","STONEWALL DEMOCRATS OF WESTCHESTER",2010,1069.07,"0",0,0,0
"1147","STONEWALL DEMOCRATS OF WNY",2016,100,"0",0,0,0
"1148","STONEWALL DEMOCRATS OF WNY",2012,400,"0",0,0,0
"1149","STONEWALL DEMOCRATS OF WNY",2010,400,"0",0,0,0
"1150","STONEWALL DEMOCRATS OFTHERIO GRANDE VALLEY",2012,250,"0",0,0,0
"1151","STONEWALL DEMOCRATS SAUGATUCK",2008,250,"0",0,0,0
"1152","STONEWALL YOUNG DEMOCRATS",2018,3449,"0",0,0,0
"1153","STONEWALL YOUNG DEMOCRATS",2017,250,"0",0,0,0
"1154","STONEWALL YOUNG DEMOCRATS",2016,1100,"0",0,0,0
"1155","STONEWALL YOUNG DEMOCRATS",2014,2125,"0",0,0,0
"1156","STONEWALL YOUNG DEMOCRATS",2012,1199,"0",0,0,0
"1157","STONEWALL YOUNG DEMOCRATS",2010,650,"0",0,0,0
"1158","SUMMIT COUNTY PFLAG",2006,6204,"0",0,0,0
"1159","SUMMIT COUNTY STONEWALL DEMOCRATS",2008,100,"OHIO DEMOCRATIC PARTY",100,100,1
"1160","SUNCOAST STONEWALL DEMOCRATS",2008,100,"0",0,0,0
"1161","TARRANT COUNTY STONEWALL DEMOCRATS",2008,4250,"0",0,0,0
"1162","TASK FORCE CALIFORNIA CMTE - NO ON 8",2008,246678.7,"0",0,0,0
"1163","TECHNO DYKE",2004,600,"0",0,0,0
"1164","TENNESSEE EQUALITY PROJECT",2015,200,"0",0,0,0
"1165","TENNESSEE EQUALITY PROJECT",2006,18000,"0",0,0,0
"1166","TEP-PAC",2018,1050,"0",0,0,0
"1167","TEP-PAC",2016,1750,"0",0,0,0
"1168","TEP-PAC",2015,200,"0",0,0,0
"1169","TEP-PAC",2014,1000,"0",0,0,0
"1170","TEP-PAC",2010,1100,"0",0,0,0
"1171","TEP-PAC",2009,100,"SENATE DEMOCRATIC CAUCUS OF TENNESSEE",100,100,1
"1172","TEP-PAC",2008,1000,"HOUSE SENATE DEMOCRATIC CAUCUS OF TENNESSEE",250,250,0.25
"1173","TEXAS EQUITY PAC",2018,89800,"0",0,0,0
"1174","TEXAS EQUITY PAC",2016,2000,"0",0,0,0
"1175","TEXAS EQUITY PAC",2014,110245,"0",0,0,0
"1176","TEXAS EQUITY PAC",2013,500,"0",0,0,0
"1177","TEXAS EQUITY PAC",2012,8000,"0",0,0,0
"1178","TEXAS EQUITY PAC",2010,2795,"0",0,0,0
"1179","TEXAS EQUITY PAC",2008,19750,"0",0,0,0
"1180","TEXAS EQUITY PAC",2006,13500,"0",0,0,0
"1181","TEXAS EQUITY PAC",2005,2700,"0",0,0,0
"1182","TEXAS STONEWALL DEMOCRATIC CAUCUS",2018,7950,"TEXAS DEMOCRATIC PARTY",1000,1000,0.125786163522013
"1183","TEXAS STONEWALL DEMOCRATIC CAUCUS",2016,500,"TEXAS DEMOCRATIC PARTY",500,500,1
"1184","TEXAS STONEWALL DEMOCRATIC CAUCUS",2014,5400,"TEXAS DEMOCRATIC PARTY",1400,1400,0.259259259259259
"1185","TEXAS STONEWALL DEMOCRATIC CAUCUS",2012,4850,"TEXAS DEMOCRATIC PARTY",1600,1600,0.329896907216495
"1186","TEXAS STONEWALL DEMOCRATIC CAUCUS",2010,6000,"0",0,0,0
"1187","TEXAS STONEWALL DEMOCRATIC CAUCUS",2008,6900,"TEXAS DEMOCRATIC PARTY",1400,1400,0.202898550724638
"1188","TEXAS STONEWALL DEMOCRATIC CAUCUS",2006,400,"TEXAS DEMOCRATIC PARTY",400,400,1
"1189","TEXAS STONEWALL DEMOCRATIC CAUCUS",2004,400,"TEXAS DEMOCRATIC PARTY",400,400,1
"1190","TEXAS STONEWALL DEMOCRATIC CAUCUS",2002,400,"TEXAS DEMOCRATIC PARTY",400,400,1
"1191","THE CENTER",2004,5000,"0",0,0,0
"1192","THE GAY & LESBIAN ACTIVIST",2006,250,"0",0,0,0
"1193","THE GAY & LESBIAN COMMUNITY CENTER OF KEY WEST",2008,50,"0",0,0,0
"1194","THOMAS JEFFERSON MEMORIAL UUC GAY/STRAIGHT ALLIANCE",2006,1332.5,"0",0,0,0
"1195","TRIANGLE FOUNDATION",2004,335,"0",0,0,0
"1196","TRIANGLE PRIDE OF MICHIGAN",2006,-500,"0",0,0,0
"1197","TRIANGLE PRIDE PAC",2008,4300,"0",0,0,0
"1198","TRIANGLE PRIDE PAC",2006,8905,"MICHIGAN HOUSE DEMOCRATIC FUND",75,75,0.00842223469960696
"1199","TWO SISTERS & A WIFE FOUNDATION",2009,60000,"0",0,0,0
"1200","UNITY UTAH",2004,1500,"UTAH DEMOCRATIC PARTY",1500,1500,1
"1201","UNITY UTAH",2002,14300,"UTAH DEMOCRATIC PARTY",4000,4000,0.27972027972028
"1202","UTAH LOG CABIN REPUBLICANS",2011,500,"0",0,0,0
"1203","UTAH LOG CABIN REPUBLICANS",2004,350,"0",0,0,0
"1204","UTAH STONEWALL DEMOCRATS",2018,2600,"0",0,0,0
"1205","UTAH STONEWALL DEMOCRATS",2016,2850,"0",0,0,0
"1206","UTAH STONEWALL DEMOCRATS",2014,2000,"0",0,0,0
"1207","UTAH STONEWALL DEMOCRATS",2012,3925,"0",0,0,0
"1208","UTAH STONEWALL DEMOCRATS",2010,400,"0",0,0,0
"1209","VA PARTISANS",2011,1850,"0",0,0,0
"1210","VA PARTISANS",2007,250,"0",0,0,0
"1211","VA PARTISANS",2005,10529.05,"VIRGINIA DEMOCRATIC PARTY",529.05,529.05,0.0502466984200854
"1212","VA PARTISANS",2004,200,"VIRGINIA DEMOCRATIC PARTY",200,200,1
"1213","VERMONT FUND FOR FAMILIES",2011,870,"VERMONT DEMOCRATIC PARTY",870,870,1
"1214","VERMONT FUND FOR FAMILIES",2010,9100,"VERMONT DEMOCRATIC HOUSE CAUCUS",1500,1500,0.164835164835165
"1215","VERMONT FUND FOR FAMILIES",2009,3500,"VERMONT DEMOCRATIC PARTY",2000,3500,1
"1216","VERMONT FUND FOR FAMILIES",2009,3500,"VERMONT SENATE VICTORY",1000,3500,1
"1217","VERMONT FUND FOR FAMILIES",2009,3500,"VERMONT DEMOCRATIC HOUSE CAUCUS",500,3500,1
"1218","VERMONT FUND FOR FAMILIES",2008,2500,"VERMONT DEMOCRATIC PARTY",1000,1000,0.4
"1219","VERMONT FUND FOR FAMILIES",2007,1000,"VERMONT DEMOCRATIC HOUSE CAUCUS",500,1000,1
"1220","VERMONT FUND FOR FAMILIES",2007,1000,"VERMONT DEMOCRATIC PARTY",500,1000,1
"1221","VERMONT FUND FOR FAMILIES",2006,2700,"VERMONT DEMOCRATIC HOUSE CAUCUS",825,1650,0.611111111111111
"1222","VERMONT FUND FOR FAMILIES",2006,2700,"VERMONT SENATE VICTORY",625,1650,0.611111111111111
"1223","VERMONT FUND FOR FAMILIES",2006,2700,"VERMONT DEMOCRATIC PARTY",200,1650,0.611111111111111
"1224","VERMONT FUND FOR FAMILIES",2005,1500,"VERMONT DEMOCRATIC PARTY",1000,1500,1
"1225","VERMONT FUND FOR FAMILIES",2005,1500,"VERMONT DEMOCRATIC HOUSE CAUCUS",500,1500,1
"1226","VERMONT FUND FOR FAMILIES",2004,4525,"VERMONT DEMOCRATIC HOUSE CAUCUS",1000,3000,0.662983425414365
"1227","VERMONT FUND FOR FAMILIES",2004,4525,"VERMONT DEMOCRATIC PARTY",1000,3000,0.662983425414365
"1228","VERMONT FUND FOR FAMILIES",2004,4525,"VERMONT SENATE VICTORY",1000,3000,0.662983425414365
"1229","VERMONT FUND FOR FAMILIES",2003,1250,"VERMONT DEMOCRATIC PARTY",750,1250,1
"1230","VERMONT FUND FOR FAMILIES",2003,1250,"VERMONT DEMOCRATIC HOUSE CAUCUS",500,1250,1
"1231","VERMONT FUND FOR FAMILIES",2002,10788.64,"VERMONT SENATE VICTORY",2000,3000,0.278070266502543
"1232","VERMONT FUND FOR FAMILIES",2002,10788.64,"VERMONT DEMOCRATIC HOUSE CAUCUS",1000,3000,0.278070266502543
"1233","VERMONT FUND FOR FAMILIES",2000,1038.13,"0",0,0,0
"1234","VERMONTERS FOR CIVIL UNIONS",2003,1000,"VERMONT DEMOCRATIC PARTY",1000,1000,1
"1235","VERMONTERS FOR CIVIL UNIONS",2002,1600,"VERMONT DEMOCRATIC HOUSE CAUCUS",1000,1000,0.625
"1236","VERMONTERS FOR CIVIL UNIONS",2001,3000,"VERMONT SENATE VICTORY",2000,3000,1
"1237","VERMONTERS FOR CIVIL UNIONS",2001,3000,"VERMONT DEMOCRATIC HOUSE CAUCUS",1000,3000,1
"1238","VERMONTERS FOR CIVIL UNIONS",2000,9350,"VERMONT DEMOCRATIC HOUSE CAUCUS",2000,4000,0.427807486631016
"1239","VERMONTERS FOR CIVIL UNIONS",2000,9350,"VERMONT SENATE VICTORY",2000,4000,0.427807486631016
"1240","VICTORY FOUNDATION GAY/LESBIAN VICTORY FUND",1998,6950,"0",0,0,0
"1241","VICTORY FOUNDATION GAY/LESBIAN VICTORY FUND",1998,875.79,"0",0,0,0
"1242","VICTORY FUND PAC",2012,3500,"0",0,0,0
"1243","VIRGINIA LOG CABIN REPUBLICANS OF NOVA",2003,2700,"0",0,0,0
"1244","VIRGINIA LOG CABIN REPUBLICANS OF NOVA",2002,1250,"0",0,0,0
"1245","VIRGINIA LOG CABIN REPUBLICANS OF NOVA",2001,4000,"0",0,0,0
"1246","VIRGINIA LOG CABIN REPUBLICANS OF NOVA",2000,3000,"0",0,0,0
"1247","VIRGINIA PARTISAN GAY & LESBIAN DEMO",1999,400,"0",0,0,0
"1248","VIRGINIA PARTISAN PAC",2003,5744.28,"VIRGINIA DEMOCRATIC PARTY",1044.28,1044.28,0.18179475930839
"1249","VIRGINIA PARTISAN PAC",2002,1214.17,"VIRGINIA DEMOCRATIC PARTY",1214.17,1214.17,1
"1250","VIRGINIA PARTISANS GAY & LESBIAN DEMOCRATIC CLUB",2012,1000,"0",0,0,0
"1251","VIRGINIA PARTISANS GAY & LESBIAN DEMOCRATIC CLUB",2011,15328.45,"0",0,0,0
"1252","VIRGINIA PARTISANS GAY & LESBIAN DEMOCRATIC CLUB",2009,9600,"0",0,0,0
"1253","VIRGINIA PARTISANS GAY & LESBIAN DEMOCRATIC CLUB",2007,16999,"0",0,0,0
"1254","VIRGINIA PARTISANS GAY & LESBIAN DEMOCRATIC CLUB",2006,1500,"0",0,0,0
"1255","VIRGINIA PARTISANS GAY & LESBIAN PAC",2009,1000,"0",0,0,0
"1256","VIRGINIA PARTISANS GAY & LESBIAN PAC",2007,125,"0",0,0,0
"1257","VOID, URVASHI",2008,124.8,"0",0,0,0
"1258","WASHINGTON STATE STONEWALL DEMOCRATS",2010,150,"WASHINGTON STATE DEMOCRATIC PARTY",150,150,1
"1259","WASHINGTON STATE STONEWALL DEMOCRATS",2009,330,"WASHINGTON STATE DEMOCRATIC PARTY",330,330,1
"1260","WASHINGTON STONEWALL DEMOCRATS",2003,50,"SENATE DEMOCRATIC CAMPAIGN CMTE OF WASHINGTON",50,50,1
"1261","WASHINGTON UNITED FOR MARRIAGE",2012,4850,"WASHINGTON STATE DEMOCRATIC PARTY",4850,4850,1
"1262","WASHINGTON WONT DISCRIMINATE",2006,17600,"WASHINGTON STATE DEMOCRATIC PARTY",300,300,0.0170454545454545
"1263","WASHTENAW RAINBOW ACTION PROJECT",2004,300,"0",0,0,0
"1264","WESTERN MONTANA GAY & LESBIAN COMMUNITY",2004,497.5,"0",0,0,0
"1265","WILLIAM & MARY GAY LESBIAN ALUMNI",2012,750,"0",0,0,0
"1266","WILLIAM BRYAN STRYKER ELECCONTRACTING INC",2000,500,"0",0,0,0
"1267","WINGSPAN",2008,375,"0",0,0,0
"1268","YES FOR MARRIAGE & EQUALITY PAC",2007,233.13,"0",0,0,0
